employee_id,fullname,directorate,position,grade,tgv_name,tv_name,baseline_score,tv_match_rate,tgv_match_rate,final_match_rate
EMP100185,Yuni Anugrah Subekti,HR & Corp Affairs,Supply Planner,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101552,Evi Dharma Pamungkas,HR & Corp Affairs,Sales Supervisor,III,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100768,Nurlita Fadillah Kusuma,Commercial,Sales Supervisor,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100232,Zaki Ridwan,Technology,Brand Executive,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100918,Yuni Lestari,Technology,HRBP,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101995,Utami Kusuma Hidayat,Commercial,Sales Supervisor,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101648,Wulan Nabila Pratama,HR & Corp Affairs,HRBP,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100994,Rizka Kusuma Rahmawati,Commercial,HRBP,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101552,Evi Dharma Pamungkas,HR & Corp Affairs,Sales Supervisor,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101976,Prasetyo Utami,Commercial,HRBP,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100387,Ari Tri Hartanto,HR & Corp Affairs,Supply Planner,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100309,Valdo Ridwan,Technology,Data Analyst,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101226,Yoga Erlangga Mahendra,Commercial,Brand Executive,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101424,Yoga Aji Hidayat,Commercial,Supply Planner,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101423,Galih Gunawan,Technology,Data Analyst,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101571,Nurlita Pratomo,Commercial,Finance Officer,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100309,Valdo Ridwan,Technology,Data Analyst,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101945,Mahendra Wibowo,Technology,Supply Planner,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100694,Julia Hartanto,HR & Corp Affairs,Brand Executive,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100605,Dwi Anggara,HR & Corp Affairs,Brand Executive,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101945,Mahendra Wibowo,Technology,Supply Planner,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101022,Hadi Siregar,Technology,Supply Planner,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100338,Galih Halim,Technology,HRBP,III,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101955,Budi Salsabila,Commercial,Data Analyst,III,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101375,Lestari Salsabila,Technology,Finance Officer,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100694,Julia Hartanto,HR & Corp Affairs,Brand Executive,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100309,Valdo Ridwan,Technology,Data Analyst,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101964,Joko Handayani,Commercial,Brand Executive,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100387,Ari Tri Hartanto,HR & Corp Affairs,Supply Planner,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101976,Prasetyo Utami,Commercial,HRBP,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100926,Intan Candra Rahmawati,Technology,Sales Supervisor,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101269,Rizky Jatmiko Herlambang,HR & Corp Affairs,Data Analyst,III,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100918,Yuni Lestari,Technology,HRBP,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100544,Citra Putra,Commercial,Sales Supervisor,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100678,Julia Jatmiko Nugroho,Commercial,Data Analyst,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101136,Arif Saputra Halim,Commercial,Brand Executive,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100926,Intan Candra Rahmawati,Technology,Sales Supervisor,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101983,Dinda Qolbi Fauziah,Technology,Supply Planner,III,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100596,Dimas Aji Hidayat,Commercial,Supply Planner,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100605,Dwi Anggara,HR & Corp Affairs,Brand Executive,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100338,Galih Halim,Technology,HRBP,III,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100544,Citra Putra,Commercial,Sales Supervisor,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100802,Dimas Kusuma Indrawan,HR & Corp Affairs,Brand Executive,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101955,Budi Salsabila,Commercial,Data Analyst,III,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100232,Zaki Ridwan,Technology,Brand Executive,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101226,Yoga Erlangga Mahendra,Commercial,Brand Executive,III,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101995,Utami Kusuma Hidayat,Commercial,Sales Supervisor,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101184,Mahendra Dharma Yulianto,HR & Corp Affairs,Data Analyst,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100678,Julia Jatmiko Nugroho,Commercial,Data Analyst,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP100544,Citra Putra,Commercial,Sales Supervisor,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101424,Yoga Aji Hidayat,Commercial,Supply Planner,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101423,Galih Gunawan,Technology,Data Analyst,IV,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101423,Galih Gunawan,Technology,Data Analyst,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100387,Ari Tri Hartanto,HR & Corp Affairs,Supply Planner,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100768,Nurlita Fadillah Kusuma,Commercial,Sales Supervisor,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100596,Dimas Aji Hidayat,Commercial,Supply Planner,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100605,Dwi Anggara,HR & Corp Affairs,Brand Executive,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101269,Rizky Jatmiko Herlambang,HR & Corp Affairs,Data Analyst,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100056,Ayunda Ramadhan,HR & Corp Affairs,Brand Executive,III,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101983,Dinda Qolbi Fauziah,Technology,Supply Planner,III,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101964,Joko Handayani,Commercial,Brand Executive,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101226,Yoga Erlangga Mahendra,Commercial,Brand Executive,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100678,Julia Jatmiko Nugroho,Commercial,Data Analyst,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101964,Joko Handayani,Commercial,Brand Executive,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100694,Julia Hartanto,HR & Corp Affairs,Brand Executive,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP101184,Mahendra Dharma Yulianto,HR & Corp Affairs,Data Analyst,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101648,Wulan Nabila Pratama,HR & Corp Affairs,HRBP,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100387,Ari Tri Hartanto,HR & Corp Affairs,Supply Planner,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101375,Lestari Salsabila,Technology,Finance Officer,V,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101269,Rizky Jatmiko Herlambang,HR & Corp Affairs,Data Analyst,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100056,Ayunda Ramadhan,HR & Corp Affairs,Brand Executive,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100768,Nurlita Fadillah Kusuma,Commercial,Sales Supervisor,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101375,Lestari Salsabila,Technology,Finance Officer,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100768,Nurlita Fadillah Kusuma,Commercial,Sales Supervisor,IV,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100185,Yuni Anugrah Subekti,HR & Corp Affairs,Supply Planner,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100056,Ayunda Ramadhan,HR & Corp Affairs,Brand Executive,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101136,Arif Saputra Halim,Commercial,Brand Executive,III,Behavioral Profile,Top 5 Strengths,100,100,100,100.00
EMP101983,Dinda Qolbi Fauziah,Technology,Supply Planner,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101955,Budi Salsabila,Commercial,Data Analyst,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP101136,Arif Saputra Halim,Commercial,Brand Executive,III,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100596,Dimas Aji Hidayat,Commercial,Supply Planner,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100802,Dimas Kusuma Indrawan,HR & Corp Affairs,Brand Executive,V,Context & Experience,Education & Years of Service,100,100,100,100.00
EMP100605,Dwi Anggara,HR & Corp Affairs,Brand Executive,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101136,Arif Saputra Halim,Commercial,Brand Executive,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100338,Galih Halim,Technology,HRBP,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP101022,Hadi Siregar,Technology,Supply Planner,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100232,Zaki Ridwan,Technology,Brand Executive,V,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,100.00
EMP100994,Rizka Kusuma Rahmawati,Commercial,HRBP,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,100.00
EMP100995,Anisa Ramadhan,Commercial,Data Analyst,V,Core Competencies,Average of 10 Pillars,3.46938775510204,99.68,99.68,99.92
EMP100995,Anisa Ramadhan,Commercial,Data Analyst,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.92
EMP100995,Anisa Ramadhan,Commercial,Data Analyst,V,Context & Experience,Education & Years of Service,100,100,100,99.92
EMP100995,Anisa Ramadhan,Commercial,Data Analyst,V,Behavioral Profile,Top 5 Strengths,100,100,100,99.92
EMP100051,Ari Mahardika Nugroho,Technology,Sales Supervisor,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.91
EMP100051,Ari Mahardika Nugroho,Technology,Sales Supervisor,III,Context & Experience,Education & Years of Service,100,100,100,99.91
EMP100051,Ari Mahardika Nugroho,Technology,Sales Supervisor,III,Core Competencies,Average of 10 Pillars,3.46938775510204,99.63,99.63,99.91
EMP100051,Ari Mahardika Nugroho,Technology,Sales Supervisor,III,Behavioral Profile,Top 5 Strengths,100,100,100,99.91
EMP101503,Citra Indrawan,Technology,Data Analyst,IV,Behavioral Profile,Top 5 Strengths,100,100,100,99.89
EMP101503,Citra Indrawan,Technology,Data Analyst,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.89
EMP101503,Citra Indrawan,Technology,Data Analyst,IV,Context & Experience,Education & Years of Service,100,100,100,99.89
EMP101503,Citra Indrawan,Technology,Data Analyst,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,99.57,99.57,99.89
EMP100324,Intan Halim,Technology,HRBP,III,Cognitive & Personality Profile,IQ Score,109,99.08,99.08,99.77
EMP100324,Intan Halim,Technology,HRBP,III,Context & Experience,Education & Years of Service,100,100,100,99.77
EMP100324,Intan Halim,Technology,HRBP,III,Behavioral Profile,Top 5 Strengths,100,100,100,99.77
EMP100324,Intan Halim,Technology,HRBP,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,99.77
EMP100399,Zaki Ramadhan,HR & Corp Affairs,Sales Supervisor,V,Context & Experience,Education & Years of Service,100,100,100,99.69
EMP101632,Putri Ginting,HR & Corp Affairs,Supply Planner,V,Core Competencies,Average of 10 Pillars,3.46938775510204,98.74,98.74,99.69
EMP101632,Putri Ginting,HR & Corp Affairs,Supply Planner,V,Context & Experience,Education & Years of Service,100,100,100,99.69
EMP101632,Putri Ginting,HR & Corp Affairs,Supply Planner,V,Behavioral Profile,Top 5 Strengths,100,100,100,99.69
EMP100399,Zaki Ramadhan,HR & Corp Affairs,Sales Supervisor,V,Core Competencies,Average of 10 Pillars,3.46938775510204,98.74,98.74,99.69
EMP100399,Zaki Ramadhan,HR & Corp Affairs,Sales Supervisor,V,Behavioral Profile,Top 5 Strengths,100,100,100,99.69
EMP100399,Zaki Ramadhan,HR & Corp Affairs,Sales Supervisor,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.69
EMP101632,Putri Ginting,HR & Corp Affairs,Supply Planner,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.69
EMP101940,Rani Sinaga,Technology,Finance Officer,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.66
EMP101940,Rani Sinaga,Technology,Finance Officer,V,Core Competencies,Average of 10 Pillars,3.46938775510204,98.64,98.64,99.66
EMP101940,Rani Sinaga,Technology,Finance Officer,V,Behavioral Profile,Top 5 Strengths,100,100,100,99.66
EMP101940,Rani Sinaga,Technology,Finance Officer,V,Context & Experience,Education & Years of Service,100,100,100,99.66
EMP100963,Ahmad Permadi,HR & Corp Affairs,HRBP,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.64
EMP100963,Ahmad Permadi,HR & Corp Affairs,HRBP,V,Context & Experience,Education & Years of Service,100,100,100,99.64
EMP100963,Ahmad Permadi,HR & Corp Affairs,HRBP,V,Behavioral Profile,Top 5 Strengths,100,100,100,99.64
EMP100963,Ahmad Permadi,HR & Corp Affairs,HRBP,V,Core Competencies,Average of 10 Pillars,3.46938775510204,98.54,98.54,99.64
EMP100039,Budi Adi Permadi,HR & Corp Affairs,HRBP,III,Context & Experience,Education & Years of Service,100,100,100,99.56
EMP100039,Budi Adi Permadi,HR & Corp Affairs,HRBP,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.56
EMP100039,Budi Adi Permadi,HR & Corp Affairs,HRBP,III,Core Competencies,Average of 10 Pillars,3.46938775510204,98.24,98.24,99.56
EMP100039,Budi Adi Permadi,HR & Corp Affairs,HRBP,III,Behavioral Profile,Top 5 Strengths,100,100,100,99.56
EMP101276,Dinda Saputra,Technology,Brand Executive,IV,Behavioral Profile,Top 5 Strengths,100,100,100,99.53
EMP101276,Dinda Saputra,Technology,Brand Executive,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,99.96,99.96,99.53
EMP101276,Dinda Saputra,Technology,Brand Executive,IV,Context & Experience,Education & Years of Service,100,100,100,99.53
EMP101276,Dinda Saputra,Technology,Brand Executive,IV,Cognitive & Personality Profile,IQ Score,109,98.17,98.17,99.53
EMP101141,Dwi Hartanto,Technology,Finance Officer,III,Context & Experience,Education & Years of Service,100,100,100,99.40
EMP101141,Dwi Hartanto,Technology,Finance Officer,III,Core Competencies,Average of 10 Pillars,3.46938775510204,97.61,97.61,99.40
EMP101141,Dwi Hartanto,Technology,Finance Officer,III,Behavioral Profile,Top 5 Strengths,100,100,100,99.40
EMP101141,Dwi Hartanto,Technology,Finance Officer,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.40
EMP100910,Hadi Iqbal Pratama,Commercial,HRBP,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.32
EMP100910,Hadi Iqbal Pratama,Commercial,HRBP,V,Behavioral Profile,Top 5 Strengths,100,100,100,99.32
EMP100910,Hadi Iqbal Pratama,Commercial,HRBP,V,Core Competencies,Average of 10 Pillars,3.46938775510204,97.28,97.28,99.32
EMP100910,Hadi Iqbal Pratama,Commercial,HRBP,V,Context & Experience,Education & Years of Service,100,100,100,99.32
EMP101150,Wahyu Pramudita Indrawan,HR & Corp Affairs,Finance Officer,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.24
EMP101150,Wahyu Pramudita Indrawan,HR & Corp Affairs,Finance Officer,V,Context & Experience,Education & Years of Service,100,100,100,99.24
EMP101150,Wahyu Pramudita Indrawan,HR & Corp Affairs,Finance Officer,V,Core Competencies,Average of 10 Pillars,3.46938775510204,96.95,96.95,99.24
EMP101150,Wahyu Pramudita Indrawan,HR & Corp Affairs,Finance Officer,V,Behavioral Profile,Top 5 Strengths,100,100,100,99.24
EMP101750,Oktavia Ridwan,HR & Corp Affairs,HRBP,IV,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.13
EMP101750,Oktavia Ridwan,HR & Corp Affairs,HRBP,IV,Context & Experience,Education & Years of Service,100,100,100,99.13
EMP101750,Oktavia Ridwan,HR & Corp Affairs,HRBP,IV,Behavioral Profile,Top 5 Strengths,100,100,100,99.13
EMP101750,Oktavia Ridwan,HR & Corp Affairs,HRBP,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,96.50,96.50,99.13
EMP100476,Sari Hartanto,HR & Corp Affairs,Finance Officer,IV,Behavioral Profile,Top 5 Strengths,100,100,100,99.08
EMP100476,Sari Hartanto,HR & Corp Affairs,Finance Officer,IV,Cognitive & Personality Profile,IQ Score,109,96.33,96.33,99.08
EMP100313,Budi Qolbi Hidayat,Technology,Data Analyst,III,Behavioral Profile,Top 5 Strengths,100,100,100,99.08
EMP100313,Budi Qolbi Hidayat,Technology,Data Analyst,III,Cognitive & Personality Profile,IQ Score,109,96.33,96.33,99.08
EMP100313,Budi Qolbi Hidayat,Technology,Data Analyst,III,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,99.08
EMP100476,Sari Hartanto,HR & Corp Affairs,Finance Officer,IV,Context & Experience,Education & Years of Service,100,100,100,99.08
EMP100476,Sari Hartanto,HR & Corp Affairs,Finance Officer,IV,Core Competencies,Average of 10 Pillars,3.46938775510204,100.00,100.00,99.08
EMP100313,Budi Qolbi Hidayat,Technology,Data Analyst,III,Context & Experience,Education & Years of Service,100,100,100,99.08
EMP101040,Ayunda Hidayat,HR & Corp Affairs,Finance Officer,V,Core Competencies,Average of 10 Pillars,3.46938775510204,96.08,96.08,99.02
EMP101040,Ayunda Hidayat,HR & Corp Affairs,Finance Officer,V,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,99.02
EMP101040,Ayunda Hidayat,HR & Corp Affairs,Finance Officer,V,Behavioral Profile,Top 5 Strengths,100,100,100,99.02
EMP101040,Ayunda Hidayat,HR & Corp Affairs,Finance Officer,V,Context & Experience,Education & Years of Service,100,100,100,99.02
EMP101321,Ari Wijaya,Technology,Finance Officer,III,Behavioral Profile,Top 5 Strengths,100,100,100,98.97
EMP101321,Ari Wijaya,Technology,Finance Officer,III,Core Competencies,Average of 10 Pillars,3.46938775510204,95.88,95.88,98.97
EMP101321,Ari Wijaya,Technology,Finance Officer,III,Context & Experience,Education & Years of Service,100,100,100,98.97
EMP101321,Ari Wijaya,Technology,Finance Officer,III,Cognitive & Personality Profile,IQ Score,109,100.00,100.00,98.97
EMP100184,Rizka Pamungkas,HR & Corp Affairs,Finance Officer,V,Context & Experience,Education & Years of Service,100,100,100,98.92
EMP100972,Dian Lukman,Technology,Data Analyst,IV,Context & Experience,Education & Years of Service,100,100,100,98.92
